Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R1249,35–44,"Single, no dependents",Tier 3,0,Self-employed,"Below ₹20,000",Very stable (fixed salary),"₹25,001–₹50,000",Entertainment & Dining Out|Rent & Housing|Shopping & Fashion,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Monthly,Build Emergency Fund|Invest & Grow Wealth|Save for Vacation,21–30%,Overspending|Unexpected Expenses,1 – Not confident at all,4 – Often,"Yes, loosely","Yes, currently using one",3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Aspiring Digital-First Millennial
R1250,25–34,"Married, with children",Tier 3,2,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"₹25,001–₹50,000",Education|Transportation,Rarely (1–2 times/month),"Celebrations or festivals|Flash sales, discounts & offers",1–2,Monthly,Build Emergency Fund,Above 30%,High Cost of Living|Unexpected Expenses,3 – Moderately confident,1 – Never,"No, and I don't plan to","No, never used one",4 – High,Neutral,Subscription & Money Leak Detection,₹0 (Free only),Definitely No,Small Town Conservative Saver
R1251,25–34,"Married, with children",Metro (Tier 1),2,Freelancer or Gig Worker,"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Monthly,Build Emergency Fund,1–10%,No Budgeting Discipline,3 – Moderately confident,4 – Often,"Yes, loosely","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,Gig Worker / Irregular Income
R1252,35–44,"Married, with children",Metro (Tier 1),2,Salaried (Government),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Education|Shopping & Fashion,Never,I rarely spend impulsively,6+,Rarely,Children's Education|Save for Vacation,Above 30%,Lack of Financial Knowledge|Unexpected Expenses,5 – Extremely confident,5 – Almost always,"Yes, strictly","No, never used one",2 – Low,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Probably Yes,Middle-Income Family Provider
R1253,18–24,Joint family (supporting elders),Rural,3,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments|Healthcare|Rent & Housing,Sometimes (3–5 times/month),"Flash sales, discounts & offers",3–5,Monthly,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",Above 30%,Unexpected Expenses,4 – Very confident,1 – Never,"No, but I want to",Used before but stopped,3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Young Urban Professional
R1254,25–34,"Single, no dependents",Tier 3,0,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹25,001–₹50,000","EMIs & Loan Repayments|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence,6+,Weekly,Build Emergency Fund,1–10%,High Cost of Living|High EMIs or Debt,4 – Very confident,2 – Rarely,"No, and I don't plan to","No, never used one",5 – Very High,Very comfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,Young Urban Professional
R1255,35–44,"Married, with children",Metro (Tier 1),2,Self-employed,"₹50,001–₹1,00,000",Mostly stable with some variation,"Above ₹1,00,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)|Transportation",Rarely (1–2 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",3–5,Quarterly,Save for Vacation,1–10%,Unexpected Expenses,4 – Very confident,1 – Never,"No, and I don't plan to",Used before but stopped,5 – Very High,Very comfortable,Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,High-Income Low-Awareness Spender
R1256,25–34,"Married, with children",Tier 2,4+,Salaried (Private),"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",EMIs & Loan Repayments|Education|Groceries & Food,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",6+,Rarely,"Build Emergency Fund|Children's Education|Save for Major Purchase (Home, Car)",0% (No savings),Overspending|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"Yes, loosely",Used before but stopped,4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Middle-Income Family Provider
R1257,35–44,"Single, no dependents",Tier 3,0,Salaried (Government),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Emotional stress or boredom|Social media influence,3–5,Rarely,Invest & Grow Wealth|No Specific Goal|Save for Vacation,1–10%,Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, and I don't plan to",Used before but stopped,3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Probably Yes,College Student / Early Career
R1258,35–44,"Married, no children",Metro (Tier 1),2,Self-employed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|I rarely spend impulsively",1–2,Rarely,Build Emergency Fund|Children's Education|Save for Vacation,21–30%,High EMIs or Debt|Lack of Financial Knowledge,3 – Moderately confident,4 – Often,"No, but I want to","Yes, currently using one",3 – Average,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,Middle-Income Family Provider
R1259,25–34,"Married, no children",Tier 3,1,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000","EMIs & Loan Repayments|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",3–5,Monthly,"Save for Major Purchase (Home, Car)",Above 30%,High Cost of Living|No Budgeting Discipline,5 – Extremely confident,3 – Sometimes,"No, but I want to",Used before but stopped,4 – High,Very uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹200–₹499,Definitely Yes,Young Urban Professional
R1260,25–34,Joint family (supporting elders),Tier 3,2,Freelancer or Gig Worker,"₹20,001–₹50,000",Highly unpredictable,"₹25,001–₹50,000",EMIs & Loan Repayments|Shopping & Fashion|Transportation,Never,I rarely spend impulsively,None,Monthly,"Children's Education|Pay Off Debt|Save for Major Purchase (Home, Car)",11–20%,Low or Irregular Income,4 – Very confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Probably No,Small Town Conservative Saver
R1261,35–44,"Single, with dependents",Tier 2,0,Freelancer or Gig Worker,"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000","Education|Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers|Social media influence",6+,Quarterly,Build Emergency Fund,11–20%,Low or Irregular Income|Unexpected Expenses,3 – Moderately confident,4 – Often,"Yes, loosely","No, never used one",3 – Average,Very uncomfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Probably No,College Student / Early Career
R1262,25–34,"Married, no children",Tier 3,0,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Highly unpredictable,"₹25,001–₹50,000",Groceries & Food|Shopping & Fashion,Never,Celebrations or festivals|Social pressure or peer influence,6+,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)|Save for Vacation",1–10%,High Cost of Living|Low or Irregular Income,5 – Extremely confident,3 – Sometimes,"No, and I don't plan to",Used before but stopped,3 – Average,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹100–₹199,Maybe,Gig Worker / Irregular Income
R1263,18–24,"Single, no dependents",Metro (Tier 1),0,Student,"Below ₹20,000",Very stable (fixed salary),"₹25,001–₹50,000","Groceries & Food|Subscriptions (OTT, Gym, etc.)",Never,I rarely spend impulsively,None,Rarely,Build Emergency Fund|Save for Vacation,11–20%,High Cost of Living|High EMIs or Debt,3 – Moderately confident,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Very comfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Probably No,College Student / Early Career
R1264,45–54,"Married, no children",Tier 2,4+,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Education|Groceries & Food|Transportation,Sometimes (3–5 times/month),"Celebrations or festivals|Flash sales, discounts & offers",1–2,Weekly,Children's Education|Invest & Grow Wealth|Save for Vacation,Above 30%,High Cost of Living|Overspending,3 – Moderately confident,4 – Often,"Yes, loosely","No, never used one",2 – Low,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Definitely Yes,Middle-Income Family Provider
R1265,25–34,"Single, no dependents",Tier 2,0,Salaried (Government),"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Entertainment & Dining Out|Rent & Housing|Transportation,Sometimes (3–5 times/month),Celebrations or festivals,1–2,Rarely,Pay Off Debt,21–30%,High Cost of Living|Unexpected Expenses,3 – Moderately confident,1 – Never,"Yes, strictly",Used before but stopped,2 – Low,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Probably No,Young Urban Professional
R1266,35–44,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",1–2,Rarely,Build Emergency Fund|Invest & Grow Wealth,11–20%,High EMIs or Debt|Unexpected Expenses,4 – Very confident,4 – Often,"No, but I want to","No, never used one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Young Urban Professional
R1267,18–24,"Married, with children",Metro (Tier 1),1,Self-employed,"₹1,00,001–₹2,00,000",Highly unpredictable,"₹25,001–₹50,000","Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals,1–2,Monthly,"Build Emergency Fund|Pay Off Debt|Save for Major Purchase (Home, Car)",1–10%,High EMIs or Debt|No Budgeting Discipline,5 – Extremely confident,2 – Rarely,"Yes, strictly","Yes, currently using one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Probably Yes,Middle-Income Family Provider
R1268,35–44,"Married, with children",Metro (Tier 1),1,Self-employed,"Above ₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Education|Transportation,Rarely (1–2 times/month),I rarely spend impulsively,1–2,Quarterly,Retirement Planning,0% (No savings),High EMIs or Debt,4 – Very confident,2 – Rarely,"Yes, loosely",Used before but stopped,3 – Average,Neutral,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Definitely Yes,Middle-Income Family Provider
R1269,35–44,Joint family (supporting elders),Rural,2,Salaried (Government),"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000",Entertainment & Dining Out|Other,Never,Celebrations or festivals|I rarely spend impulsively,3–5,Monthly,Children's Education|Pay Off Debt|Retirement Planning,11–20%,Unexpected Expenses,1 – Not confident at all,2 – Rarely,"No, but I want to","No, never used one",5 – Very High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,Small Town Conservative Saver
R1270,25–34,"Single, no dependents",Tier 3,0,Student,"Below ₹20,000",Irregular but manageable,"₹10,001–₹25,000",Groceries & Food|Shopping & Fashion|Transportation,Never,Social media influence|Social pressure or peer influence,6+,Rarely,"No Specific Goal|Pay Off Debt|Save for Major Purchase (Home, Car)",0% (No savings),High EMIs or Debt|Lack of Financial Knowledge,2 – Slightly confident,4 – Often,"Yes, loosely","No, never used one",3 – Average,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,College Student / Early Career
R1271,35–44,"Married, with children",Metro (Tier 1),3,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"Above ₹1,00,000","Education|Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",6+,Monthly,Pay Off Debt,21–30%,High EMIs or Debt|No Budgeting Discipline,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Definitely No,High-Income Low-Awareness Spender
R1272,55+,"Single, no dependents",Rural,0,Unemployed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000","Groceries & Food|Healthcare|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),I rarely spend impulsively,1–2,Monthly,Children's Education|Retirement Planning,11–20%,Overspending,2 – Slightly confident,4 – Often,"Yes, strictly","No, never used one",3 – Average,Very uncomfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Definitely No,Retired / Senior Citizen
R1273,35–44,"Married, with children",Tier 3,2,Student,"₹20,001–₹50,000",Highly unpredictable,"₹25,001–₹50,000",Groceries & Food|Transportation,Sometimes (3–5 times/month),Emotional stress or boredom|Social media influence,1–2,Never,Save for Vacation,1–10%,Overspending,2 – Slightly confident,4 – Often,"No, but I want to",Used before but stopped,4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Definitely Yes,Gig Worker / Irregular Income
R1274,35–44,Joint family (supporting elders),Metro (Tier 1),2,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Entertainment & Dining Out|Groceries & Food|Transportation,Rarely (1–2 times/month),Social pressure or peer influence,1–2,Weekly,"No Specific Goal|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,No Budgeting Discipline,3 – Moderately confident,1 – Never,"Yes, loosely","No, never used one",3 – Average,Neutral,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Young Urban Professional
R1275,45–54,"Single, with dependents",Metro (Tier 1),0,Salaried (Private),"Below ₹20,000",Very stable (fixed salary),"₹25,001–₹50,000",Education|Groceries & Food,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Quarterly,Children's Education|Invest & Grow Wealth,Above 30%,Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",3 – Average,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Maybe,Middle-Income Family Provider
R1276,35–44,"Married, with children",Tier 2,3,Salaried (Private),"₹1,00,001–₹2,00,000",Highly unpredictable,"₹50,001–₹1,00,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",6+,Weekly,"Build Emergency Fund|Save for Major Purchase (Home, Car)",11–20%,Overspending,5 – Extremely confident,3 – Sometimes,"Yes, loosely",Used before but stopped,4 – High,Neutral,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Young Urban Professional
R1277,18–24,"Single, no dependents",Tier 2,1,Student,"Below ₹20,000",Mostly stable with some variation,"₹25,001–₹50,000","Entertainment & Dining Out|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers",3–5,Weekly,Invest & Grow Wealth|No Specific Goal,21–30%,Low or Irregular Income|No Budgeting Discipline,4 – Very confident,5 – Almost always,"Yes, strictly","Yes, currently using one",3 – Average,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹500+,Probably Yes,College Student / Early Career
R1278,25–34,"Married, no children",Metro (Tier 1),3,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"Above ₹1,00,000","Education|Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals|Emotional stress or boredom,3–5,Monthly,"Invest & Grow Wealth|Retirement Planning|Save for Major Purchase (Home, Car)",21–30%,High Cost of Living|Overspending,3 – Moderately confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹100–₹199,Probably No,Aspiring Digital-First Millennial
R1279,35–44,"Married, no children",Tier 2,3,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Groceries & Food|Healthcare|Transportation,Never,I rarely spend impulsively,6+,Rarely,Build Emergency Fund|Invest & Grow Wealth,21–30%,Lack of Financial Knowledge,3 – Moderately confident,2 – Rarely,"Yes, loosely","No, never used one",5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Young Urban Professional
R1280,35–44,"Single, with dependents",Tier 3,1,Salaried (Private),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Education|Groceries & Food,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Quarterly,Build Emergency Fund|Retirement Planning,1–10%,Lack of Financial Knowledge|High EMIs or Debt,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",2 – Low,Neutral,Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Middle-Income Family Provider
R1281,55+,"Married, with children",Rural,3,Salaried (Government),"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",Education|Groceries & Food,Never,I rarely spend impulsively,1–2,Monthly,Build Emergency Fund|Children's Education,21–30%,Overspending,4 – Very confident,2 – Rarely,"No, but I want to","Yes, currently using one",1 – Very Low,Neutral,AI Savings Recommendations & Goal Engine,₹49–₹99,Maybe,Small Town Conservative Saver
R1282,35–44,"Married, with children",Metro (Tier 1),2,Retired,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"Above ₹1,00,000",Entertainment & Dining Out,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",3–5,Rarely,"Save for Major Purchase (Home, Car)",11–20%,High Cost of Living,4 – Very confident,2 – Rarely,"No, but I want to","No, never used one",4 – High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably No,High-Income Low-Awareness Spender
R1283,35–44,"Married, with children",Tier 3,1,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"₹10,001–₹25,000",Healthcare|Rent & Housing|Transportation,Rarely (1–2 times/month),Celebrations or festivals,1–2,Monthly,Children's Education|No Specific Goal|Retirement Planning,11–20%,Unexpected Expenses,4 – Very confident,1 – Never,"Yes, loosely","Yes, currently using one",2 – Low,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,Small Town Conservative Saver
R1284,18–24,Joint family (supporting elders),Metro (Tier 1),2,Freelancer or Gig Worker,"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000","EMIs & Loan Repayments|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Celebrations or festivals|Flash sales, discounts & offers",6+,Weekly,Retirement Planning|Save for Vacation,Above 30%,Unexpected Expenses,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",4 – High,Very comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹200–₹499,Definitely Yes,Young Urban Professional
R1285,18–24,"Single, no dependents",Metro (Tier 1),0,Freelancer or Gig Worker,"Below ₹20,000",Mostly stable with some variation,"₹10,001–₹25,000",Education,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Never,Build Emergency Fund|Pay Off Debt|Save for Vacation,11–20%,Low or Irregular Income|No Budgeting Discipline,4 – Very confident,3 – Sometimes,"Yes, strictly","No, never used one",4 – High,Neutral,AI Savings Recommendations & Goal Engine,₹49–₹99,Definitely No,College Student / Early Career
R1286,25–34,"Married, with children",Metro (Tier 1),1,Salaried (Government),"₹50,001–₹1,00,000",Irregular but manageable,"₹50,001–₹1,00,000","Education|Subscriptions (OTT, Gym, etc.)|Transportation",Sometimes (3–5 times/month),Celebrations or festivals,3–5,Monthly,Children's Education|Save for Vacation,Above 30%,High Cost of Living|Unexpected Expenses,2 – Slightly confident,5 – Almost always,"No, and I don't plan to","Yes, currently using one",4 – High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹500+,Probably Yes,Middle-Income Family Provider
R1287,25–34,"Single, no dependents",Metro (Tier 1),1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Transportation,Sometimes (3–5 times/month),Social pressure or peer influence,1–2,Quarterly,"Invest & Grow Wealth|Retirement Planning|Save for Major Purchase (Home, Car)",11–20%,Lack of Financial Knowledge|Overspending,4 – Very confident,2 – Rarely,"Yes, loosely","Yes, currently using one",2 – Low,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹100–₹199,Probably Yes,Young Urban Professional
R1288,55+,Joint family (supporting elders),Tier 2,2,Salaried (Private),"₹50,001–₹1,00,000",Irregular but manageable,"₹25,001–₹50,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),"Emotional stress or boredom|Flash sales, discounts & offers",1–2,Quarterly,Children's Education|Pay Off Debt,11–20%,High EMIs or Debt|No Budgeting Discipline,2 – Slightly confident,4 – Often,"No, but I want to","No, never used one",5 – Very High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹200–₹499,Definitely Yes,Middle-Income Family Provider
R1289,35–44,"Married, no children",Tier 2,2,Salaried (Private),"₹20,001–₹50,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Rent & Housing|Shopping & Fashion,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Monthly,"Invest & Grow Wealth|Pay Off Debt|Save for Major Purchase (Home, Car)",11–20%,High Cost of Living|Low or Irregular Income,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Young Urban Professional
R1290,35–44,"Single, no dependents",Tier 2,1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",6+,Never,Retirement Planning,21–30%,High Cost of Living|High EMIs or Debt,4 – Very confident,3 – Sometimes,"No, and I don't plan to",Used before but stopped,4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking|Subscription & Money Leak Detection,₹200–₹499,Probably Yes,Young Urban Professional
R1291,35–44,"Married, with children",Tier 3,2,Salaried (Government),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"Below ₹10,000",EMIs & Loan Repayments|Groceries & Food|Healthcare,Sometimes (3–5 times/month),Celebrations or festivals|Social media influence,3–5,Monthly,Build Emergency Fund|Pay Off Debt,11–20%,No Budgeting Discipline|High EMIs or Debt,5 – Extremely confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Definitely No,Middle-Income Family Provider
R1292,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"Above ₹2,00,000",Mostly stable with some variation,"Below ₹10,000",Education|Entertainment & Dining Out|Groceries & Food,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Quarterly,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)|Save for Vacation",11–20%,High Cost of Living|No Budgeting Discipline,2 – Slightly confident,3 – Sometimes,"Yes, strictly","Yes, currently using one",2 – Low,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹200–₹499,Probably Yes,Young Urban Professional
R1293,35–44,Joint family (supporting elders),Tier 2,0,Freelancer or Gig Worker,"Below ₹20,000",Very stable (fixed salary),"Below ₹10,000","EMIs & Loan Repayments|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),I rarely spend impulsively,None,Quarterly,Children's Education,1–10%,Low or Irregular Income,5 – Extremely confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Neutral,Subscription & Money Leak Detection,₹0 (Free only),Definitely No,Small Town Conservative Saver
R1294,25–34,"Single, no dependents",Tier 3,0,Salaried (Government),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000",EMIs & Loan Repayments|Entertainment & Dining Out|Rent & Housing,Often (6+ times/month),Celebrations or festivals,3–5,Rarely,"Save for Major Purchase (Home, Car)",11–20%,High Cost of Living|Lack of Financial Knowledge,4 – Very confident,5 – Almost always,"No, but I want to","No, never used one",3 – Average,Very comfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Maybe,High-Income Low-Awareness Spender
R1295,25–34,"Single, no dependents",Tier 3,0,Freelancer or Gig Worker,"Below ₹20,000",Irregular but manageable,"₹10,001–₹25,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),Social media influence|Social pressure or peer influence,None,Weekly,Pay Off Debt,1–10%,High Cost of Living|Overspending,1 – Not confident at all,4 – Often,"No, and I don't plan to",Used before but stopped,5 – Very High,Somewhat uncomfortable,Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Maybe,Gig Worker / Irregular Income
